cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,scenario_id,probability,scenario_description,timestamp,simulations
2020,President,polls-plus,10/2/2020,Trump,Biden,"",9,.853625,Biden majority (at least 50 percent of the vote),16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",8,.0665,Trump majority (at least 50 percent of the vote),16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",6,.1059875,Biden wins popular vote but loses Electoral College,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",5,.001175,Trump wins popular vote but loses Electoral College,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",4,.900125,Biden wins popular vote,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",3,.099875,Trump wins popular vote,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",2,.053325,Recount (1+ decisive states within 0.5 ppt),16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",1,.005375,Electoral College deadlock (No candidate gets 270 electoral votes),16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",14,.925875,Biden wins at least one state Trump won in 2016,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",13,.3456,Trump wins at least one state Clinton won in 2016,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",12,.00115,Map exactly the same as in 2016,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",11,.284125,Biden landslide (double-digit popular vote margin),16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",10,.0019,Trump landslide (double-digit popular vote margin),16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",9,.855675,Biden majority (at least 50 percent of the vote),21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",8,.065675,Trump majority (at least 50 percent of the vote),21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",6,.1012125,Biden wins popular vote but loses Electoral College,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",5,.0013125,Trump wins popular vote but loses Electoral College,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",4,.90145,Biden wins popular vote,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",3,.09855,Trump wins popular vote,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",2,.04905,Recount (1+ decisive states within 0.5 ppt),21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",1,.00455,Electoral College deadlock (No candidate gets 270 electoral votes),21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",14,.924075,Biden wins at least one state Trump won in 2016,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",13,.3348,Trump wins at least one state Clinton won in 2016,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",12,.001225,Map exactly the same as in 2016,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",11,.297025,Biden landslide (double-digit popular vote margin),21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",10,.002,Trump landslide (double-digit popular vote margin),21:27:02  1 Oct 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",9,.83925,Biden majority (at least 50 percent of the vote),20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",8,.07665,Trump majority (at least 50 percent of the vote),20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",6,.105375,Biden wins popular vote but loses Electoral College,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",5,.0014875,Trump wins popular vote but loses Electoral College,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",4,.8881,Biden wins popular vote,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",3,.1119,Trump wins popular vote,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",2,.0528,Recount (1+ decisive states within 0.5 ppt),20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",1,.004725,Electoral College deadlock (No candidate gets 270 electoral votes),20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",14,.914275,Biden wins at least one state Trump won in 2016,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",13,.349425,Trump wins at least one state Clinton won in 2016,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",12,.00115,Map exactly the same as in 2016,20:24:04 30 Sep 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",11,.2803,Biden landslide (double-digit popular vote margin),20:24:04 30 Sep 2020,40000
