cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,current_zscore,projected_zscore,projected_hi,projected_lo,category,indicator,timestamp,simulations
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.7222743,.6602898,1.237006,.083574,stock market,S&P 500,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",-1.45219,-1.077966,-.5012501,-1.654682,spending,Personal consumption expenditures,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",-1.62591,-1.312062,-.7353461,-1.888778,manufacturing,Industrial production,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",-3.204552,-2.835074,-2.258358,-3.41179,jobs,Nonfarm payrolls,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.6025671,.6488451,1.225561,.0721294,inflation,Consumer price index,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",.6656389,.5559089,1.132625,-.0208068,income,Real disposable personal income,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/2/2020,Trump,Biden,"",-.7153618,-.5600097,-.15221,-.9678093,combined,Average of all six indicators,16:34:03  2 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",.7945145,.7297305,1.311405,.1480563,stock market,S&P 500,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",-1.45219,-1.060115,-.4784406,-1.641789,spending,Personal consumption expenditures,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",-1.62591,-1.295314,-.7136397,-1.876988,manufacturing,Industrial production,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",-3.260423,-2.876542,-2.294868,-3.458216,jobs,Nonfarm payrolls,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",.6025671,.6502742,1.231948,.0685999,inflation,Consumer price index,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",.6656389,.553151,1.134825,-.0285232,income,Real disposable personal income,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,10/1/2020,Trump,Biden,"",-.7126337,-.5498025,-.1384967,-.9611083,combined,Average of all six indicators,21:27:02  1 Oct 2020,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,"",.7605334,.6943838,1.274146,.1146215,stock market,S&P 500,20:24:04 30 Sep 2020,40000
