cycle,branch,district,forecastdate,expression,name_D1,name_D2,name_D3,name_D4,name_I1,name_R1,name_R2,name_R3,name_R4,name_O1,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,winner_I1,winner_O1,winner_Dparty,winner_Rparty,tipping,vpi,mean_predicted_turnout,p90_simmed_turnout_gross,p10_simmed_turnout_gross,voteshare_mean_D1,voteshare_mean_D2,voteshare_mean_D3,voteshare_mean_D4,voteshare_mean_I1,voteshare_mean_R1,voteshare_mean_R2,voteshare_mean_R3,voteshare_mean_R4,voteshare_mean_O1,p90_voteshare_simmed_I1,p90_voteshare_simmed_O1,p90_voteshare_simmed_D1,p90_voteshare_simmed_R1,p90_voteshare_simmed_D2,p90_voteshare_simmed_R2,p90_voteshare_simmed_R3,p90_voteshare_simmed_R4,p90_voteshare_simmed_D3,p90_voteshare_simmed_D4,p10_voteshare_simmed_I1,p10_voteshare_simmed_O1,p10_voteshare_simmed_D1,p10_voteshare_simmed_R1,p10_voteshare_simmed_D2,p10_voteshare_simmed_R2,p10_voteshare_simmed_R3,p10_voteshare_simmed_R4,p10_voteshare_simmed_D3,p10_voteshare_simmed_D4,pvi_538,vep,elasticity_district,mean_netpartymargin,p90_netpartymargin,p10_netpartymargin,wonrunoff_D1,lostrunoff_D1,wonrunoff_D2,lostrunoff_D2,wonrunoff_D3,lostrunoff_D3,wonrunoff_D4,lostrunoff_D4,wonrunoff_R1,lostrunoff_R1,wonrunoff_R2,lostrunoff_R2,wonrunoff_R3,lostrunoff_R3,wonrunoff_R4,lostrunoff_R4,wonrunoff_I1,lostrunoff_I1,simulations,timestamp
2020,Senate,WY-S2,10/2/20,_lite,Merav Ben-David,"","","","",Cynthia Lummis,"","","","",.015975,0,0,0,.984025,0,0,0,0,0,.015975,.984025,.0016375,.5238776,247246.2,296077.3,199201.7,33.33715,0,0,0,0,66.66285,0,0,0,0,0,0,42.57388,75.66785,0,0,0,0,0,0,0,0,24.33216,57.42612,0,0,0,0,0,0,-44.55695,416120,,-33.3257,-14.85224,-51.33569,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,WV-S2,10/2/20,_lite,Paula Jean Swearengin,"","","",Franklin Riley,Shelley Moore Capito,"","","","",.020975,0,0,0,.979025,0,0,0,0,0,.020975,.979025,.002175,.2295374,749521.1,899596,601756.6,32.45749,0,0,0,3.603698,63.93881,0,0,0,0,6.595416,0,41.97543,73.5437,0,0,0,0,0,0,1.188257,0,22.89209,54.40854,0,0,0,0,0,0,-33.36588,1405756,,-31.48132,-12.70812,-50.42914,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,VA-S2,10/2/20,_lite,Mark Warner,"","","","",Daniel Gade,"","","",all others,.967875,0,0,0,.032125,0,0,0,0,0,.967875,.032125,.0140625,.2841054,3915264,4593164,3263686,56.75108,0,0,0,0,41.0244,0,0,0,2.224522,0,4.288619,62.09959,46.41692,0,0,0,0,0,0,0,.5970042,51.33024,35.6279,0,0,0,0,0,0,7.214744,5841246,,15.72668,26.22756,5.134289,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,TX-S2,10/2/20,_lite,M.J. Hegar,"","","","",John Cornyn,"","","",all others,.147475,0,0,0,.852525,0,0,0,0,0,.147475,.852525,.0164625,.1366649,9528331,1.12e+07,7925513,44.81396,0,0,0,0,52.47542,0,0,0,2.710615,0,5.118666,49.68346,57.31153,0,0,0,0,0,0,0,.8017727,39.92771,47.59993,0,0,0,0,0,0,-16.95765,1.79e+07,,-7.661461,1.74334,-17.04252,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,TN-S2,10/2/20,_lite,Marquita Bradshaw,"","","","",Bill Hagerty,"","","",all others,.118175,0,0,0,.881825,0,0,0,0,0,.118175,.881825,.0138,.425616,2564716,3050954,2085591,38.61362,0,0,0,0,55.05954,0,0,0,6.326837,0,10.57138,47.83529,64.23634,0,0,0,0,0,0,0,2.687765,29.42717,45.82422,0,0,0,0,0,0,-27.59,4638481,,-16.44592,1.498497,-34.20869,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,SD-S2,10/2/20,_lite,Dan Ahlers,"","","","",Mike Rounds,"","","","",.03225,0,0,0,.96775,0,0,0,0,0,.03225,.96775,.0033625,.7116482,373744.7,446052.9,302772.1,36.15486,0,0,0,0,63.84514,0,0,0,0,0,0,45.37656,72.98083,0,0,0,0,0,0,0,0,27.01917,54.62344,0,0,0,0,0,0,-28.19171,635783,,-27.69028,-9.24688,-45.96165,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,SC-S2,10/2/20,_lite,Jaime Harrison,"","","",Bill Bledsoe,Lindsey Graham,"","","","",.262125,0,0,0,.737875,0,0,0,0,0,.262125,.737875,.037775,1.333094,2241413,2657082,1839294,46.6403,0,0,0,1.740503,51.61919,0,0,0,0,3.435592,0,51.71322,56.68464,0,0,0,0,0,0,.4168352,0,41.58681,46.55062,0,0,0,0,0,0,-16.27831,3786973,,-4.978886,4.950991,-14.95141,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,RI-S2,10/2/20,_lite,Jack Reed,"","","","",Allen Waters,"","","","",.992275,0,0,0,.007725,0,0,0,0,0,.992275,.007725,.0015875,.2755181,455765.7,544165.6,369855.1,69.93014,0,0,0,0,30.06986,0,0,0,0,0,0,79.56096,39.67537,0,0,0,0,0,0,0,0,60.32463,20.43904,0,0,0,0,0,0,24.14743,787223,,39.86028,59.12193,20.64927,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,OR-S2,10/2/20,_lite,Jeff Merkley,"","","","",Jo Rae Perkins,"","","",all others,.946025,0,0,0,.053975,0,0,0,0,0,.946025,.053975,.01595,.6487744,1944666,2294976,1602995,56.50613,0,0,0,0,39.58057,0,0,0,3.913299,0,7.029004,63.26616,46.36694,0,0,0,0,0,0,0,1.36828,49.72859,32.80439,0,0,0,0,0,0,7.486742,3051952,,16.92556,30.07926,3.779339,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
2020,Senate,OK-S2,10/2/20,_lite,Abby Broyles,"","","","",Jim Inhofe,"","","",all others,.0274,0,0,0,.9726,0,0,0,0,0,.0274,.9726,.002675,.14079,1502900,1801918,1211656,38.48207,0,0,0,0,58.00933,0,0,0,3.5086,0,6.412873,45.021,64.57936,0,0,0,0,0,0,0,1.142998,31.8996,51.47715,0,0,0,0,0,0,-33.47742,2782455,,-19.52727,-6.802296,-32.28143,,,,,,,,,,,,,,,,,,,40000,16:52:05  2 Oct 2020
